,org,person,count,keywords in emails,files
237,Camp Enron Team,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
238,Camp Enron Team,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
239,Camp Enron Team,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
240,Camp Enron Team,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
241,Camp Enron Team,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
242,Camp Enron Team,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
243,Camp Enron Team,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
244,Camp Enron Team,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
245,Camp Enron Team,Jennifer Milligan,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
246,Camp Enron Team,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
247,Camp Enron Team,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
248,USA Buses,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
249,USA Buses,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
250,USA Buses,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
251,USA Buses,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
252,USA Buses,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
253,USA Buses,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
254,USA Buses,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
255,USA Buses,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
256,USA Buses,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
257,USA Buses,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
258,USA Buses,Jennifer Milligan,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
259,USA Buses,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
260,USA Buses,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
261,Fantasy,Davis,6,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'13448.txt', '711.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
262,Melissa Graves,Robert Cotten,6,"production sitara deals, entered sitara hesco, hesco gathering oil, vance deals 348725, ticket created entered, pricing sitara ticket, dec pricing melissa, 377169 month dec, cokinos gov daniels, graves 11","{'17780.txt', '39661.txt', '23334.txt', '30536.txt', '20476.txt', '9410.txt'}"
263,ISDA,Sara,6,"isda transaction document, certificates confirmation, fax sara shackleton, enron cc kimberly, 3801a houston texas, isda document translated, argentine companies use, deal french, enron europe document, disadvantage moment latin","{'7521.txt', '35526.txt', '5221.txt', '19282.txt', '18812.txt', '36322.txt'}"
264,ISDA,Mark Taylor,6,"isda electronic document, document available dear, mcbride enron 01, access online versions, available jane, milbank draft document, ect etol trust, author isda schedule, agreement houston track, ln1 20030058v5","{'5198.txt', '19282.txt', '11672.txt', '25470.txt', '11160.txt', '30940.txt'}"
265,Broncos,Brian Griese,6,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '38915.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
266,SportsLine.com Inc,Brian Griese,6,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '38915.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
267,HPL,Daren J Farmer,6,"update deal ticket, gas resources aquila, pops gas scheduled, header meter 980072, reflect late changes, need hpl sales, priced different rate, indian springs different, tickets place track, teco","{'9269.txt', '39058.txt', '9607.txt', '1612.txt', '30598.txt', '2892.txt'}"
268,NFL,Davis,6,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
269,Kay Mann/Corp,Suzanne Adams,6,"enron cc subject, mann corp enron, change signature line, documents asked change, generation docs attached, milbank com kathleen, comparison vepco names, compare new document, create redline thanks, ll try remember","{'26605.txt', '26523.txt', '16426.txt', '9440.txt', '2572.txt', '30856.txt'}"
270,Kay Mann/Corp,Heather,6,"document regards heather, land option agreement, vepco forwarded kay, enron subject, ect 07 21, preliminary draft credit, enovate revolver dash, documents list tomorrow, agmt related closing, enron com cc","{'20668.txt', '37441.txt', '19680.txt', '5806.txt', '21237.txt', '18094.txt'}"
271,Carol St Clair,Sara Shackleton,5,"valentis investors llc, cd holdings jointly, linkage documents originally, subject wexford, texas 77002 713, duke energy file, clair enron com, isda working office, paralegal sara, file know papers","{'11672.txt', '31044.txt', '6680.txt', '11160.txt', '28836.txt'}"
272,Iris Mack,Vince J Kaminski,5,"enron strategic plan, rough draft document, forwarded vince kaminski, sent professor duffie, hou ect 05, papers cds pricing, pricing forwarded vince, fw hull white, enron enronxgate, cc subject","{'12604.txt', '7616.txt', '38425.txt', '34144.txt', '426.txt'}"
273,The Sporting News,Davis,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'13448.txt', '711.txt', '27308.txt', '23062.txt', '17483.txt'}"
274,Fantasy,Smith,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'13448.txt', '711.txt', '38915.txt', '23062.txt', '17483.txt'}"
275,Fantasy,Terrell Davis,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'711.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
276,Broncos,Alexander,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time, coupon code high10pc, return action week","{'711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt'}"
277,New Orleans,Davis,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'13448.txt', '711.txt', '27308.txt', '23062.txt', '17483.txt'}"
278,Commissioner.COM Inc,Terrell Davis,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'711.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
279,Commissioner.COM Inc,Davis,5,"coupon code high10pc, glory planters crunch, watters http football210, game indianapolis don, planters crunch time, return action week, leaf http football215, emergency quarterback week, coupon code, value time troy","{'711.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
280,SportsLine.com Inc,Alexander,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time, coupon code high10pc, return action week","{'711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt'}"
281,ENA,Jeff,5,"storage true invoice, ces september probably, reminder right tax, issues arising amita, provided stamp sheri, documents behalf eol, japan frank thinking, deals question central, billed new power, does reconciliation look","{'13505.txt', '32336.txt', '31219.txt', '15984.txt', '23362.txt'}"
282,PA,Mark Taylor,5,"separate pa auction, new pa form, included registration form, generic document handle, agreement david forster, reminder right tax, issues arising amita, provided stamp sheri, documents behalf eol, japan frank thinking","{'17195.txt', '13505.txt', '27914.txt', '39647.txt', '15984.txt'}"
283,Kay Mann/Corp,Thompson,5,"austin facility agreement, changes document agreed, inserted recitals kw, kw capacity plant, ge complete, salmon energy agreement, turbine, performance values article, changes version circulated, second document blackline","{'32712.txt', '32497.txt', '29743.txt', '12996.txt', '6074.txt'}"
284,Kay Mann/Corp,Peter J,5,"austin facility agreement, changes document agreed, inserted recitals kw, kw capacity plant, ge complete, salmon energy agreement, turbine, performance values article, changes version circulated, second document blackline","{'32712.txt', '32497.txt', '29743.txt', '12996.txt', '6074.txt'}"
285,Fantasy,George Seifert,5,"glory planters crunch, coupon code high10pc, leaf http football215, emergency quarterback week, coupon code, value time troy, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
286,Green Bay,George Seifert,5,"glory planters crunch, coupon code high10pc, leaf http football215, emergency quarterback week, coupon code, value time troy, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
287,Green Bay,Davis,5,"glory planters crunch, coupon code high10pc, leaf http football215, emergency quarterback week, coupon code, value time troy, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
288,Broncos,George Seifert,5,"glory planters crunch, coupon code high10pc, leaf http football215, emergency quarterback week, coupon code, value time troy, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
289,Broncos,Sean Dawkins,5,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
290,Broncos,Dawkins,5,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
291,SportsLine.com Inc,George Seifert,5,"glory planters crunch, coupon code high10pc, leaf http football215, emergency quarterback week, coupon code, value time troy, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '38915.txt', '27308.txt', '23062.txt', '17483.txt'}"
292,SportsLine.com Inc,Sean Dawkins,5,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
293,SportsLine.com Inc,Dawkins,5,"glory planters crunch, coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, leaf http football215, emergency quarterback week, coupon code","{'13448.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
294,Tana Jones,Tana Jones,5,"enrononline market descriptions, descriptions awais forwarded, steven attached document, ect lawyers concerned, groups approval duplicating, merchant energy group, americas assignment related, documents consent assignment, agreement puget sound, power send copy","{'2451.txt', '30404.txt', '25470.txt', '10847.txt', '21013.txt'}"
295,ENA,Mark Taylor,5,"reminder right tax, issues arising amita, provided stamp sheri, documents behalf eol, japan frank thinking, documents signed notices, notices received ena, adopt similar notification, australia financial global, legal department isda","{'13505.txt', '11672.txt', '17461.txt', '25470.txt', '15984.txt'}"
296,NFL,Terrell Davis,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
297,NFL,Richardson,5,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
298,NFL,Rich Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
299,NFL,Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
300,NFL,Tim Brown,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
301,NFL,Anderson,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
302,Broncos,Richardson,5,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
303,Broncos,Rich Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
304,Broncos,Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
305,Broncos,Tim Brown,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
306,Broncos,Anderson,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
307,SportsLine.com Inc,Richardson,5,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs","{'13448.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
308,SportsLine.com Inc,Rich Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
309,SportsLine.com Inc,Gannon,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
310,SportsLine.com Inc,Tim Brown,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
311,SportsLine.com Inc,Anderson,5,"fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, http football215 fantasy, football net commissioner, coupon code ctp6w92y, reports signed cbs, adjustable logo cap","{'38915.txt', '22279.txt', '27308.txt', '31814.txt', '17483.txt'}"
312,Houston Offices Bankrupt,Harry Grubbs,5,"copiers contact, houston offices bankrupt, harry grubbs enron, rent receive invoices, commitment information requested","{'17012.txt', '32713.txt', '35795.txt', '9315.txt', '4338.txt'}"
313,Houston Offices Bankrupt,Paula Corey,5,"copiers contact, houston offices bankrupt, harry grubbs enron, rent receive invoices, commitment information requested","{'17012.txt', '32713.txt', '35795.txt', '9315.txt', '4338.txt'}"
314,NFL,Brian Griese,5,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, nfl reports, wise ryan leaf, glory planters crunch, start 30 player","{'13448.txt', '38915.txt', '22279.txt', '31814.txt', '17483.txt'}"
315,NFL,Smith,5,"coupon code high10pc, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, nfl reports, wise ryan leaf, glory planters crunch, start 30 player","{'13448.txt', '38915.txt', '22279.txt', '31814.txt', '17483.txt'}"
316,Sara Shackleton,Robert Bruce,5,"revisions access august, group calendar tab, subject swap, enron enron robert, ect ect mark, merchant energy group, americas assignment related, documents consent assignment, agreement puget sound, power send copy","{'29982.txt', '14878.txt', '2451.txt', '28149.txt', '25470.txt'}"
317,ESA,Kay Mann,5,"invoice information turbopark, payment terms enron, copy enron project, valley contract think, change order needed, energy development ca, assignment turbopark documents, agreements pages faxed, lee receiving package, containing following changed","{'30654.txt', '17611.txt', '27252.txt', '5305.txt', '2345.txt'}"
318,ESA,Lee,5,"invoice information turbopark, payment terms enron, copy enron project, valley contract think, change order needed, lee receiving package, energy development ca, assignment turbopark documents, agreements pages faxed, containing following changed","{'30654.txt', '27252.txt', '5305.txt', '12633.txt', '17611.txt'}"
319,Kay Mann,Kay Mann,5,"facility agreement ge, enron subject executed, executed ca development, old fashioned closings, documents copy asking, enron subject authorization, inventory states, illinois unless enovate, revise change documents, qualified prepare necessary","{'29644.txt', '4225.txt', '19273.txt', '7603.txt', '26581.txt'}"
320,The Norma,Pappas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
321,The Norma,George Lucas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
322,The Norma,Irvin Kershner,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
323,The Norma,Richard Marquand,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
324,The Norma,Jeff Poche,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
325,The Norma,Ana Eigler,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
326,The Norma,Hans Graf,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
327,The Norma,Leon Fleisher,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
328,The Norma,Barber    Medea,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
329,The Norma,Strauss   A Hero,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
330,The Norma,Jennifer Milligan,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
331,The Norma,Kidsave,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
332,The Norma,Tonya Hoppe,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
333,Zenteno Band,Pappas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
334,Zenteno Band,George Lucas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
335,Zenteno Band,Irvin Kershner,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
336,Zenteno Band,Richard Marquand,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
337,Zenteno Band,Jeff Poche,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
338,Zenteno Band,Ana Eigler,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
339,Zenteno Band,Hans Graf,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
340,Zenteno Band,Leon Fleisher,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
341,Zenteno Band,Barber    Medea,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
342,Zenteno Band,Strauss   A Hero,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
343,Zenteno Band,Jennifer Milligan,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
344,Zenteno Band,Kidsave,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
345,Zenteno Band,Tonya Hoppe,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
346,Sambuca,Pappas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
347,Sambuca,George Lucas,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
348,Sambuca,Irvin Kershner,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
349,Sambuca,Richard Marquand,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
350,Sambuca,Jeff Poche,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
351,Sambuca,Ana Eigler,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
352,Sambuca,Hans Graf,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
353,Sambuca,Leon Fleisher,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
354,Sambuca,Barber    Medea,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
355,Sambuca,Strauss   A Hero,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
356,Sambuca,Jennifer Milligan,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
357,Sambuca,Kidsave,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
358,Sambuca,Tonya Hoppe,4,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels","{'26761.txt', '38399.txt', '33618.txt', '7641.txt'}"
